doi,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,TOTAL
10.1371/journal.pbio.0000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,1,6,6,3,4,1,0,10,12,3,9,8,5,8,2,6,12,7,4,7,2,3,3,0,0,3,4,5,4,6,2,2,5,1,1,0,1,2,0,3,2,4,0,1,0,3,2,0,1,1,3,1,0,2,196
10.1371/journal.pbio.0000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,7,4,3,3,5,5,2,3,1,6,19,15,1,1,7,10,1,1,3,5,5,1,0,1,6,1,0,2,3,0,3,1,0,0,1,2,2,0,1,1,0,1,1,1,1,1,0,3,1,2,2,4,8,166
10.1371/journal.pbio.0000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,5,4,2,8,1,6,2,1,1,0,3,3,1,1,0,15,14,7,0,2,0,1,1,1,1,1,4,1,0,1,2,1,2,0,2,0,1,0,1,1,1,0,3,1,2,1,2,0,1,0,2,0,1,4,128
10.1371/journal.pbio.0000032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,8,4,11,7,6,5,6,6,5,7,6,6,0,3,14,8,6,2,4,3,6,8,4,7,2,1,4,8,3,1,2,2,1,1,1,2,0,3,2,1,2,3,2,4,3,2,3,0,2,2,11,2,4,242
10.1371/journal.pbio.0000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,14,20,28,21,17,18,24,20,10,14,15,23,13,17,21,16,4,14,13,13,9,8,9,10,5,10,14,11,8,9,8,10,8,11,14,8,12,8,12,7,11,7,7,13,9,7,7,7,6,8,4,4,3,7,4,5,666
10.1371/journal.pbio.0000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,4,8,7,5,5,2,9,4,5,6,7,5,7,4,3,3,11,1,1,0,1,2,0,3,7,0,2,1,1,0,4,1,4,0,2,3,2,6,0,1,3,1,2,0,0,1,2,1,1,0,0,0,1,3,168
10.1371/journal.pbio.0000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,13,14,21,6,15,16,21,21,23,25,15,21,14,20,17,10,5,11,8,7,9,9,5,4,6,10,6,12,8,11,9,4,11,6,9,4,5,6,12,7,7,11,9,5,5,1,6,3,5,2,10,6,2,4,7,592
10.1371/journal.pbio.0000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,33,39,31,38,36,33,33,37,34,26,43,33,22,33,14,7,10,23,6,1,3,7,4,2,4,6,6,2,0,6,7,7,5,7,2,5,2,4,5,2,9,7,6,3,2,2,6,3,3,4,2,3,4,1,6,753
10.1371/journal.pbio.0000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,14,15,16,15,3,10,4,17,6,6,8,8,9,14,9,5,6,7,4,4,7,4,2,0,4,5,2,6,2,0,11,8,2,4,3,3,2,4,4,6,4,3,2,7,0,4,1,1,1,3,0,6,0,3,3,330
10.1371/journal.pbio.0000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,1,4,4,1,3,2,3,3,2,4,2,8,0,1,0,4,0,0,1,7,2,2,2,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,2,86
10.1371/journal.pbio.0000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,13,27,15,15,12,7,20,29,10,8,10,15,9,15,2,5,4,18,12,5,9,5,0,4,2,1,3,4,7,8,1,9,1,1,2,2,5,7,6,2,4,8,4,3,0,4,5,4,1,0,1,2,2,2,4,408
10.1371/journal.pbio.0000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,21,6,7,4,4,5,8,5,6,14,11,1,12,3,4,0,6,3,0,0,0,2,2,1,0,1,1,3,2,3,3,0,2,0,2,3,3,0,2,1,2,3,3,1,4,2,3,2,0,0,0,2,1,3,197
10.1371/journal.pbio.0000041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,25,36,38,17,21,22,20,16,25,20,24,25,27,19,14,6,16,20,11,8,11,11,11,5,4,11,13,6,10,7,10,11,15,20,7,11,18,8,14,6,18,8,11,13,0,10,8,7,10,8,10,12,7,16,11,813
10.1371/journal.pbio.0000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,43,70,69,146,106,100,107,100,115,76,59,77,69,60,77,105,58,114,106,100,87,74,44,59,58,46,60,82,37,47,57,96,67,77,73,57,51,48,90,109,52,154,112,96,64,62,54,51,32,57,63,68,61,245,76,83,4472
10.1371/journal.pbio.0000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,3,1,2,0,0,2,0,1,1,1,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,5,38
10.1371/journal.pbio.0000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,1,0,2,1,2,0,1,0,0,2,2,0,0,2,2,4,2,0,1,1,3,0,0,0,2,1,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,2,52
10.1371/journal.pbio.0000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,59,58,47,58,49,47,49,48,51,60,28,45,36,37,40,36,28,29,42,34,62,46,25,39,13,26,31,29,20,41,65,49,38,34,26,30,23,36,26,29,19,25,50,43,49,65,113,75,59,85,54,21,20,29,23,83,2443
10.1371/journal.pbio.0000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,10,12,12,18,8,9,9,9,7,8,18,9,6,13,10,9,11,7,6,4,6,2,5,4,5,6,4,3,6,2,2,5,5,5,2,3,6,6,7,1,5,1,1,1,3,0,4,6,9,1,1,2,2,4,10,356
10.1371/journal.pbio.0000047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,1,0,0,5,0,3,1,0,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1,0,1,1,41
10.1371/journal.pbio.0000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,14,14,13,17,17,16,16,13,15,8,10,13,4,27,8,4,5,12,12,5,4,15,6,1,5,1,3,7,4,10,2,4,4,5,4,7,6,3,4,1,3,0,3,4,1,8,3,3,1,1,0,1,3,0,4,408
10.1371/journal.pbio.0000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,10,3,9,5,10,10,8,6,11,6,9,14,5,4,3,4,4,4,5,6,3,0,0,3,0,1,2,2,2,0,5,1,1,3,3,5,5,2,3,1,2,1,2,0,2,3,1,0,2,5,1,3,4,1,3,232
10.1371/journal.pbio.0000050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,7,8,12,11,13,13,15,10,18,9,9,10,3,14,8,2,6,10,6,2,2,3,3,3,6,3,3,3,4,6,4,6,8,2,6,1,7,3,4,7,5,4,2,2,3,6,4,1,4,1,2,8,2,1,9,350
10.1371/journal.pbio.0000051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,17,16,14,9,18,14,13,11,24,14,14,15,20,16,11,6,7,8,9,5,13,8,10,2,6,9,9,5,9,9,5,3,6,8,9,11,8,6,11,6,8,5,7,9,2,7,0,0,4,1,3,5,7,10,7,521
10.1371/journal.pbio.0000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,17,27,17,14,26,18,20,15,9,19,12,18,9,16,8,9,6,9,8,7,6,14,4,6,9,6,9,7,24,4,5,12,15,10,19,10,11,5,12,16,13,9,4,10,3,5,10,4,8,7,5,8,10,9,14,630
10.1371/journal.pbio.0000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,14,23,21,17,18,27,14,15,28,23,9,18,13,16,6,8,29,19,13,12,11,9,18,10,9,9,13,9,15,10,8,8,9,8,18,14,9,13,9,10,12,14,13,16,4,10,10,4,9,6,10,6,6,6,10,752
10.1371/journal.pbio.0000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,5,0,3,1,4,3,1,2,0,1,5,1,4,0,1,1,4,0,0,3,0,0,1,4,1,1,0,1,1,1,1,1,0,1,0,0,1,1,2,3,0,1,1,2,1,1,0,0,0,3,0,0,0,2,77
10.1371/journal.pbio.0000055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,2,9,6,6,6,4,1,6,3,6,3,6,3,1,0,1,5,0,5,3,1,2,1,2,2,2,0,1,2,2,1,1,0,1,2,0,2,1,2,3,1,3,3,0,1,2,1,1,0,1,3,0,0,5,136
10.1371/journal.pbio.0000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,2,4,2,4,1,1,7,1,3,4,1,4,3,1,0,4,1,0,4,0,0,0,1,2,0,2,2,3,0,0,1,0,6,0,2,2,0,1,3,0,0,2,2,3,1,0,1,0,1,1,2,3,2,99
10.1371/journal.pbio.0000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,8,9,8,3,2,5,7,12,4,5,6,11,4,7,4,3,0,4,3,0,2,2,0,0,3,2,3,3,2,1,0,0,0,2,1,1,1,1,2,0,1,2,1,0,1,3,1,3,0,1,1,0,1,2,2,167
10.1371/journal.pbio.0000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49,46,54,63,65,103,84,86,81,69,59,64,67,64,64,89,55,90,62,57,53,61,51,35,29,22,48,59,41,69,56,47,52,49,49,33,50,58,77,78,43,61,60,54,57,29,35,38,33,35,22,35,26,40,49,22,3068
10.1371/journal.pbio.0000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,45,52,45,43,31,52,48,38,32,54,35,29,29,44,34,20,20,26,25,21,37,32,31,26,25,23,21,36,14,41,21,22,36,39,25,16,17,29,33,18,22,21,28,32,20,18,19,22,17,23,18,22,12,28,41,25,1676
10.1371/journal.pbio.0000060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,87,69,98,78,84,109,96,95,87,70,55,51,38,55,82,57,59,70,59,63,50,58,60,43,42,57,62,60,29,35,51,51,46,67,33,48,39,44,57,59,50,43,40,47,42,47,46,33,26,35,43,40,36,47,33,52,3211
10.1371/journal.pbio.0000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4,11,7,5,3,6,5,8,8,3,2,5,3,1,4,0,2,4,2,1,1,2,0,3,1,1,4,1,0,1,4,2,3,3,3,6,2,1,2,0,1,4,1,0,2,2,0,3,2,1,1,1,2,0,1,164
10.1371/journal.pbio.0000062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,6,0,4,3,3,2,4,2,2,4,1,1,2,1,4,6,3,1,1,0,0,0,3,0,0,1,0,1,1,1,0,4,0,0,2,4,0,0,3,3,0,0,0,7,2,2,0,2,0,0,1,1,3,102
10.1371/journal.pbio.0000063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,4,0,1,1,3,1,1,2,4,1,1,3,1,2,4,0,3,1,1,3,4,0,0,0,1,1,0,0,0,0,4,1,1,1,0,1,0,1,1,2,1,0,1,2,0,0,0,1,1,0,0,4,72
10.1371/journal.pbio.0000064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,2,0,2,1,5,2,0,2,0,2,0,0,0,4,1,0,1,0,0,0,3,1,0,0,0,3,3,0,0,3,0,0,0,2,2,1,2,1,0,1,0,2,1,0,1,1,3,2,0,0,1,62
10.1371/journal.pbio.0000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,31,41,59,50,30,51,30,36,23,43,36,32,28,22,28,16,20,18,18,15,19,25,19,20,15,15,11,5,7,16,15,18,12,11,16,13,6,9,16,11,16,15,23,11,8,6,15,14,6,14,10,4,4,16,10,12,1127
10.1371/journal.pbio.0000066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,2,8,4,16,4,5,5,5,4,4,8,4,7,4,2,2,4,3,3,3,2,1,5,1,0,3,1,1,1,1,1,0,2,3,2,4,8,2,3,4,1,0,0,1,0,3,1,2,5,4,1,0,0,1,184
10.1371/journal.pbio.0000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,45,42,69,61,42,62,34,40,53,43,33,19,42,31,33,25,14,22,29,30,25,26,48,22,25,17,31,28,15,17,19,20,17,26,31,23,23,28,19,29,26,27,29,34,25,16,20,11,16,25,15,28,27,19,12,26,1665
10.1371/journal.pbio.0000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,33,29,18,15,21,17,26,20,23,8,9,23,14,13,18,5,11,17,13,13,14,8,8,9,8,10,15,8,9,9,6,9,11,9,1,6,7,7,15,5,5,9,7,11,6,8,3,2,7,4,5,7,4,6,6,661
10.1371/journal.pbio.0000069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,11,16,17,12,15,14,14,12,22,7,14,17,13,10,13,2,9,13,19,11,12,12,13,7,7,7,11,10,9,15,9,6,8,6,11,11,8,7,21,5,20,5,15,13,12,8,9,6,17,8,5,8,10,11,12,650
10.1371/journal.pbio.0000070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,3,1,4,3,2,2,3,2,0,1,4,4,4,1,0,3,5,1,1,0,1,3,0,2,0,2,2,1,1,1,2,1,3,1,1,3,2,6,4,5,0,3,4,1,1,0,0,1,1,4,3,1,0,2,120
10.1371/journal.pbio.0000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,6,1,3,1,7,3,1,3,2,6,1,4,0,2,2,5,0,1,1,0,0,1,0,1,1,0,5,0,1,2,1,1,1,1,5,3,2,1,3,1,3,0,1,3,0,3,1,1,0,0,0,0,3,104
10.1371/journal.pbio.0000072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,17,22,25,23,15,12,20,24,20,13,16,22,16,29,15,5,13,8,14,9,9,15,8,14,10,11,10,8,6,13,16,16,13,10,6,12,22,13,9,10,11,15,5,9,5,3,13,8,13,6,9,8,13,17,17,759
10.1371/journal.pbio.0000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,12,6,10,6,2,5,6,6,7,5,9,4,8,2,3,2,4,2,2,1,0,2,2,0,0,1,1,0,3,2,1,1,3,0,2,4,6,0,0,2,1,0,3,2,3,2,0,1,1,0,0,3,1,2,173
10.1371/journal.pbio.0000074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,68,52,60,46,35,48,54,46,47,39,44,41,33,39,55,52,23,29,40,25,27,28,30,28,30,19,20,29,22,25,26,34,26,35,31,18,27,32,23,29,15,28,16,22,19,14,9,10,10,15,7,12,10,15,19,24,1709
10.1371/journal.pbio.0000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,17,5,6,2,2,0,5,6,2,6,8,4,12,2,3,2,6,2,3,6,1,2,9,4,3,3,1,1,7,10,4,5,2,1,4,6,4,2,3,5,12,2,2,3,3,4,5,2,4,3,5,3,6,16,257
