doi,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,TOTAL
10.1371/journal.pbio.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,13,9,10,5,11,9,10,8,6,5,8,15,13,11,3,8,13,6,5,4,2,4,3,4,4,3,5,6,2,7,5,8,3,8,1,6,1,6,0,1,2,9,0,5,2,4,3,3,2,1,3,4,4,5,321
10.1371/journal.pbio.0000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,47,52,88,37,30,52,63,64,55,49,37,52,47,42,56,31,31,31,34,42,35,43,44,27,27,39,34,43,32,37,36,49,52,30,52,29,38,42,54,31,37,33,30,33,23,19,33,31,35,22,29,25,19,26,29,42,2219
10.1371/journal.pbio.0000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,5,6,3,6,11,4,5,2,1,2,6,2,2,0,0,2,7,6,6,4,5,3,0,5,3,0,1,0,3,1,0,2,5,1,2,3,7,2,2,5,10,2,4,3,2,3,3,3,3,2,1,1,1,3,194
10.1371/journal.pbio.0000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,3,3,0,0,2,2,0,0,0,5,8,1,0,0,0,0,0,0,3,0,1,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,46
10.1371/journal.pbio.0000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,61,48,55,99,77,61,90,68,67,85,52,52,38,64,53,45,35,53,73,43,58,47,34,55,58,37,46,69,32,50,46,50,61,50,43,37,33,45,66,75,42,46,50,53,46,36,38,45,38,28,38,36,49,40,39,86,2990
10.1371/journal.pbio.0000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,18,25,39,19,23,28,34,28,18,20,23,20,20,17,18,16,10,22,16,15,15,10,23,11,21,21,24,18,27,12,11,27,24,11,17,13,10,19,20,20,22,23,17,21,14,11,15,14,17,15,17,6,15,20,23,1074
10.1371/journal.pbio.0000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,2,3,2,2,6,3,5,5,2,7,3,4,6,4,0,12,6,6,10,2,7,4,6,1,4,2,3,0,2,5,1,5,1,4,3,3,6,4,0,38,50,43,10,7,1,8,2,2,5,0,3,4,2,337
10.1371/journal.pbio.0000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,20,33,25,27,34,32,33,23,15,25,32,16,15,34,32,12,20,28,12,33,18,12,11,2,19,35,27,13,27,52,70,52,18,28,28,12,37,72,35,23,21,34,22,20,15,18,20,9,13,18,25,18,7,41,28,1454
10.1371/journal.pbio.0000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,1,3,3,6,3,1,3,6,5,6,2,4,0,7,1,3,2,8,2,0,0,0,1,1,2,3,1,1,0,0,1,3,2,2,3,1,2,1,1,0,1,2,3,3,1,1,0,1,2,1,1,0,1,1,4,130
10.1371/journal.pbio.0000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,39,45,61,48,25,54,44,47,43,31,28,40,44,29,54,35,28,38,38,35,21,28,26,12,19,18,29,26,23,33,20,20,32,26,34,23,19,33,22,22,25,23,24,44,16,34,17,14,27,27,26,21,22,21,19,35,1736
10.1371/journal.pbio.0000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,2,4,5,4,3,2,5,7,1,2,9,2,1,4,2,4,10,4,1,0,1,7,0,3,4,0,1,1,1,4,1,1,1,1,0,2,2,0,1,1,1,0,2,2,1,3,2,1,1,1,1,1,3,5,141
10.1371/journal.pbio.0000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,35,60,57,43,37,49,46,49,34,31,23,23,29,22,34,30,22,39,41,26,30,16,17,27,29,18,18,36,18,19,21,28,27,28,22,17,22,26,20,34,17,27,24,23,26,13,31,28,20,20,16,25,19,12,11,27,1588
10.1371/journal.pbio.0000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,19,30,18,12,22,33,19,14,24,14,13,19,27,19,7,18,24,30,20,14,16,12,10,6,6,8,10,5,14,12,15,12,10,10,11,9,11,10,10,7,7,12,13,19,8,8,7,13,9,2,9,13,12,4,10,786
10.1371/journal.pbio.0000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,15,17,11,8,21,20,13,9,13,7,7,11,9,11,4,1,7,11,7,7,2,4,1,1,2,3,11,2,7,6,6,7,8,7,5,13,10,10,7,11,6,2,6,6,5,6,2,3,4,4,4,4,3,1,2,411
10.1371/journal.pbio.0000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,44,35,58,52,36,50,59,51,64,53,52,51,50,48,90,63,24,74,55,57,39,64,51,43,55,44,79,55,40,52,51,55,28,45,41,35,48,34,37,44,28,38,48,45,45,30,34,30,24,26,18,23,37,44,25,45,2582
10.1371/journal.pbio.0000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,22,26,24,26,27,43,35,43,22,31,31,40,21,55,35,27,35,28,41,37,23,28,31,31,27,39,64,30,33,39,31,39,37,55,43,29,27,43,34,29,19,35,38,35,23,34,24,27,29,42,30,33,31,40,33,1874
10.1371/journal.pbio.0000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,16,21,14,4,14,11,13,14,11,13,11,12,11,19,6,4,21,16,9,5,1,3,4,1,3,3,0,3,2,4,6,12,4,4,1,2,5,5,1,3,8,3,4,7,3,6,4,3,9,3,1,2,5,1,4,396
10.1371/journal.pbio.0000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,10,12,14,19,18,10,23,20,16,13,12,10,10,18,11,7,13,12,7,4,8,12,4,1,5,8,3,5,9,3,4,3,9,6,4,3,13,8,5,1,11,5,8,2,4,4,4,11,3,3,5,4,2,1,7,479
10.1371/journal.pbio.0000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,51,55,64,41,55,44,48,51,23,40,32,30,38,33,62,40,20,39,31,39,22,19,24,19,19,13,20,22,22,17,21,24,32,29,32,21,23,29,19,45,24,28,31,32,21,16,19,20,16,17,15,22,56,24,34,31,1745
10.1371/journal.pbio.0000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,49,45,37,36,33,47,40,30,36,36,39,28,31,85,46,27,10,20,50,33,43,33,23,24,20,22,30,28,22,30,32,36,41,30,27,30,26,28,28,37,26,36,20,29,28,15,22,12,23,20,14,24,17,18,13,33,1746
10.1371/journal.pbio.0000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,19,26,21,17,22,19,18,16,14,13,10,18,15,33,9,7,9,22,13,15,7,14,17,13,16,15,12,18,5,12,14,9,12,14,8,8,6,11,17,13,9,12,11,10,5,6,3,12,11,7,5,4,5,5,6,720
10.1371/journal.pbio.0000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,20,41,27,14,8,15,23,33,22,10,7,11,26,29,9,4,6,7,5,8,12,8,6,7,3,16,8,3,11,8,9,6,12,5,5,4,2,6,4,4,6,7,5,8,9,1,2,5,4,4,3,5,3,4,3,562
10.1371/journal.pbio.0000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,6,1,3,0,3,7,3,2,4,5,2,4,2,2,5,9,3,1,2,3,3,1,2,0,5,2,1,0,0,3,3,0,0,0,5,0,3,2,3,0,2,1,0,1,0,2,2,3,1,1,1,2,2,131
10.1371/journal.pbio.0000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,4,3,3,2,5,0,0,1,6,2,2,0,1,3,7,4,1,3,1,0,0,1,0,5,3,0,1,3,1,6,2,0,0,0,0,0,3,0,1,1,0,0,2,1,3,1,6,0,1,0,1,3,106
10.1371/journal.pbio.0000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,14,7,15,8,11,14,8,9,17,8,6,15,10,12,6,7,8,12,4,4,6,7,15,5,4,5,7,3,4,2,5,4,7,3,13,7,3,3,10,6,7,4,4,5,5,6,4,3,7,8,4,7,9,4,8,422
10.1371/journal.pbio.0000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,3,1,2,1,0,0,2,0,1,0,0,3,8,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,1,2,42
10.1371/journal.pbio.0000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,48,54,34,74,68,32,43,48,32,34,31,35,52,50,46,21,36,40,42,85,100,31,34,39,47,44,39,44,35,39,27,46,30,18,31,22,33,24,46,32,27,48,37,30,34,20,17,7,19,28,40,31,25,21,32,2162
10.1371/journal.pbio.0000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,14,10,11,7,10,10,11,9,3,9,10,17,6,5,12,5,3,13,6,10,3,9,3,10,5,15,4,4,6,8,9,3,15,11,10,8,6,9,14,6,13,8,8,5,1,3,8,1,8,4,0,6,5,6,7,448
